,arch,embed_size,embedder,evaluation,replication,score,stage,task,time_of_init
232,comparator,200,srn,matching,1,0.5809498910524878,expert,nyms_syn,2018-12-02-03-06-41
233,comparator,200,srn,matching,1,0.5787954803785406,expert+rs,nyms_syn,2018-12-02-03-06-41
234,comparator,200,srn,matching,0,0.632272770940408,novice,cohyponyms_syntactic,2018-12-02-03-06-41
235,comparator,200,srn,matching,0,0.7340659138910575,expert,cohyponyms_syntactic,2018-12-02-03-06-41
236,comparator,200,srn,matching,0,0.5515669448615891,expert+rs,cohyponyms_syntactic,2018-12-02-03-06-41
237,comparator,200,srn,matching,1,0.6404603847370846,novice,cohyponyms_syntactic,2018-12-02-03-06-41
238,comparator,200,srn,matching,1,0.7503767882165719,expert,cohyponyms_syntactic,2018-12-02-03-06-41
239,comparator,200,srn,matching,1,0.5520150145331284,expert+rs,cohyponyms_syntactic,2018-12-02-03-06-41
240,comparator,200,srn,matching,0,0.7296090153233314,novice,hypernyms_None,2018-12-02-03-06-41
241,comparator,200,srn,matching,0,0.7552738267024128,expert,hypernyms_None,2018-12-02-03-06-41
242,comparator,200,srn,matching,0,0.6675599532742691,expert+rs,hypernyms_None,2018-12-02-03-06-41
243,comparator,200,srn,matching,1,0.7303305160448355,novice,hypernyms_None,2018-12-02-03-06-41
244,comparator,200,srn,matching,1,0.7664399092970703,expert,hypernyms_None,2018-12-02-03-06-41
245,comparator,200,srn,matching,1,0.6799285370714174,expert+rs,hypernyms_None,2018-12-02-03-06-41
246,comparator,200,srn,matching,0,0.632812199913946,novice,nyms_ant,2018-12-02-03-06-41
247,comparator,200,srn,matching,0,0.5983406315034873,expert,nyms_ant,2018-12-02-03-06-41
248,comparator,200,srn,matching,0,0.555428381357768,expert+rs,nyms_ant,2018-12-02-03-06-41
249,comparator,200,srn,matching,1,0.633215751518782,novice,nyms_ant,2018-12-02-03-06-41
250,comparator,200,srn,matching,1,0.5997801598609076,expert,nyms_ant,2018-12-02-03-06-41
251,comparator,200,srn,matching,1,0.5537494485102056,expert+rs,nyms_ant,2018-12-02-03-06-41
252,comparator,30,ww,matching,0,0.6968757318114454,novice,cohyponyms_semantic,2018-12-09-20-31-23
253,comparator,30,ww,matching,0,0.6852202914893877,expert,cohyponyms_semantic,2018-12-09-20-31-23
254,comparator,30,ww,matching,0,0.6398543577363507,expert+rs,cohyponyms_semantic,2018-12-09-20-31-23
255,comparator,30,ww,matching,1,0.6964448882409904,novice,cohyponyms_semantic,2018-12-09-20-31-23
256,comparator,30,ww,matching,1,0.6856440939397195,expert,cohyponyms_semantic,2018-12-09-20-31-23
257,comparator,30,ww,matching,1,0.6380960874290751,expert+rs,cohyponyms_semantic,2018-12-09-20-31-23
258,comparator,30,ww,matching,0,0.5357022719772935,novice,features_has,2018-12-09-20-31-23
259,comparator,30,ww,matching,0,0.5439415120359936,expert,features_has,2018-12-09-20-31-23
260,comparator,30,ww,matching,0,0.5544235524012041,expert+rs,features_has,2018-12-09-20-31-23
261,comparator,30,ww,matching,1,0.5364595505146521,novice,features_has,2018-12-09-20-31-23
262,comparator,30,ww,matching,1,0.5451257039881627,expert,features_has,2018-12-09-20-31-23
263,comparator,30,ww,matching,1,0.5582003846824201,expert+rs,features_has,2018-12-09-20-31-23
264,comparator,30,ww,matching,0,0.6011602779711518,novice,features_is,2018-12-09-20-31-23
265,comparator,30,ww,matching,0,0.5664798463652285,expert,features_is,2018-12-09-20-31-23
266,comparator,30,ww,matching,0,0.5791889715287727,expert+rs,features_is,2018-12-09-20-31-23
267,comparator,30,ww,matching,1,0.6008618270734306,novice,features_is,2018-12-09-20-31-23
268,comparator,30,ww,matching,1,0.5661813954675072,expert,features_is,2018-12-09-20-31-23
269,comparator,30,ww,matching,1,0.5707171931768549,expert+rs,features_is,2018-12-09-20-31-23
